id,repositoryUrl,path,title,content_snippet,my_topic
ADR_001,https://github.com/omair-sajid-confiz/adr-poc.git,doc/adr/0007-use-unity-for-dependency-injection.md,7. Use Unity for dependency injection,"# 7. Use Unity for dependency injection  Date: 2018-09-17  ## Status  Accepted  Extends [6. use dependency injection](0006-use-dependency-injection.md)  Amended By [8. Use Autofac for dependency injection](0008-use-autofac-for-dependency-injection.md)  ## Context  The issue motivating this decision, and any context that influences or constrains the decision.  ## Decision  The change that we're proposing or have agreed to implement.  ## Consequences  What becomes easier or more difficult to do and any risks introduced by the change that will need to be mitigated. ",technology_choice
ADR_002,https://github.com/superwerker/superwerker.git,docs/adrs/notifications.md,Notifications,"# Notifications  ## Context  superwerker creates an OpsItem in Systems Manager OpsCenter for each email received by the [RootMail](rootmail.md) feature. Without notifications for new OpsItems, users need to check the OpsCenter for new items manually and might miss important information regarding their AWS accounts and resources.  ## Decision  - Use CloudWatch Events to trigger an AWS Lambda function whenever a new OpsItem is created.     - OpsCenter / OpsItem supports SNS notifications, but the desired SNS topic Arn needs to be provided explicitly whenever an OpsItem is created. Therefore, we decided against this native feature. - Publish a message to an SNS topic for every new OpsItem.  - Use SNS, since subscriptions and email verification work out-of-the-box with CloudFormation tooling.  - Use native email subscriptions for SNS to notify a specified email address about new messages.  - We decided against using SES for email notifications since this would lead to several additional steps like verifying sender and recipient domains or email addresses. - We decided against (re-)using the existing root email address of the management AWS account since we would need to keep this in sync with the SNS subscription (because the management account root email adress can be changed). And we wanted to keep the notification feature simple. - If no email address is provided, no SNS topic is created.  ## Consequences  - Users can provide an email address for notifications when creating the superwerker CloudFormation stack. - Users need to verify the SNS subscription for the provided email address. - Users will receive an email about every new OpsItem in OpsCenter. - Users need to take care of handling OpsItems (e.g., close them). - SNS email subscriptions do not allow the full range of email capabilities/customizations (which SES would). ",technology_choice
ADR_003,https://github.com/DanilSuits/dddsample-pelargir.git,doc/adr/0003-install-citerus-as-a-git-submodule.md,3. Install citerus as a git submodule,"# 3. Install citerus as a git submodule  Date: 03/06/2018  ## Status  Accepted  ## Context  I can't be bothered to be installing the citerus library into my repositories all the time.  I want to keep my copy of that closely synchronized to the common project, so that any progress that is made can be incorporated into my work.  I want a convenient way to introduce fixes in the existing implementation as I discover the need.  I want to keep the touch on the existing code _light_; I expect to be making some fairly drastic changes in approach, and I don't want to be debating my choices with the maintainers.  I'm not currently comfortable working with maven projects where the elements are not rooted under a common location.  ## Decision  Add the upstream as a git submodule, so that it's clear precisely which version of the upstream is in play at any given time.  Changes that are of general interest can be in that space.  Most radical changes (for a _gentle_ definition of radical) should be maintained elsewhere.  ## Consequences  Well, I have to learn how git submodules work.  I'll need to be careful about how to make global changes, for concerns like formatting, removing unused imports, and so on.  ",governance_and_process
ADR_004,https://github.com/SAP/cloud-sdk-js.git,knowledge-base/adr/0028-public-api-extraction.md,Public API Generation,"# Public API Generation  ## Status  accepted  ## Context  For a typescript library it is common to use [barrels](https://basarat.gitbook.io/typescript/main-1/barrel) to make imports easy for consumers. A barrel is simply an `index.ts` re-exporting content of other source file. As a consumer you can then import all parts of the public API via the root `index.ts`.  In the past we exported everything via multiple barrel file in each folder and a \* in the barrels:  ```ts export * from './some-file.ts'; ```  This was convenient for us, but we had no distinction between:  - This is part of the `public` API where a consumer can rely on stability. - This is part of the `internal` API and not meant for direct usage of the consumer.   The convenience had the drawback that we were often blocked to do a refactoring.   This ADR proposes a way to improve the situation.  ## API Categories  Our new strategy should provide the following options:  - `Exported Public API`: This is a cautious decision and consumer can rely on stable contract for minor versions.   It contains only objects where we see (re)use potential for customers.   This API is reachable via the root level import e.g. `@sap-cloud-sdk/odata-v2`. - `Exported Internal API`: Exported for technical reasons but not meant to be used by consumer.   We keep this API stable for path versions.   This API is accessible via `@sap-cloud-sdk/odata-v2/internal`. - `Not exported`: Should be used wherever possible  Each object like constant, function, interface, type, class **must** be in one of the categories.  ## How to Achieve it  Note that the problem has two sides:  - For TypeScript the `d.ts` files are the source of truth for the available types.   You could use the [stripInternal](https://www.typescriptlang.org/tsconfig#stripInternal) compiler flag to remove internal object from the `d.ts` files.   You could still use `export * from 'ABC""` because the type definition are reduced. - For JavaScript the module exports in the transpiled `index.js` matter.   To have a minimal API exposed here one has to avoid `*` in the export statements.  There are tools like [barrelsby](https://github.com/bencoveney/barrelsby#readme) to create the barrels for you. However, these tools do not create named minimal exports. Hence, we propose the following approach:  - You go over the code and manually maintain the API:   1. Use `@internal` annotation and `stripInternal` compiler option for parts the internal API.      This removes the internal API from the `d.ts` files.   2. Maintain minimal named exports in the root `index.ts` pointing to the objects of the public API.      This creates also minimal module exports in the JavaScript usecase.   3. We create a `internal` export as we did for the [v4 case](https://github.com/SAP/cloud-sdk-js/tree/v1.28.0/packages/core) which can be imported via `@sap-cloud-sdk/odata-v2/internal`.      This internal folder contains all exports.  This is a large manual effort initially and seems to be redundant because the minimal `index.ts` alone would already do the trick. However, the double maintenance makes better check rules possible. We plan to implement the following checks:  - Have a check to avoid any `*` exports in the root `index.ts`. - Use an automatic tool like [barrelsby](https://github.com/bencoveney/barrelsby#readme) to create `index.ts` exporting everything to the `internal` folder. - Have a check to enforce exposed object from `d.ts` match the named exports of the root `index.ts`.   - A missing value in the `index.ts` denotes: You have exported something in the code but not added it to the relevant barrel or missed the `@internal`.   - A missing value in the `d.ts` denotes: You have violated the API contract and marked a previously exported object as `@internal`. - In the integration and E2E tests we enforce root level imports via eslint rule. - [Optiona] Have a check to enforce TsDoc on all exported objects.   Either a full doc if part of the public API or at least `@internal` as minimal value.   The [eslint-plugin-tsdoc](https://github.com/microsoft/tsdoc/issues/209) does not have a `require` rule.   The [eslint-plugin-jsdoc](https://github.com/gajus/eslint-plugin-jsdoc) does have it but does not recognize many TypeScript object as `interface`.  ## Internal Packages  The packages:  - odata-common - generator-common  are not meant for direct usage. Hence, they do not export a public API (root level index is empty). All object intended for the public are re-exported from `odata-v2`,`odata-v4` or the generator packages.  ## Consequences  We have a minimal API exposed to the consumer and most of the exported function are internal. We are able to do refactoring on the internal API methods. We have tooling enforcing to keep the public API minimal and well documented. ",governance_and_process
ADR_005,https://github.com/huifenqi/arch.git,decisions/0030-capacity-evaluation-storage.md,30. 容量评估 - 存储,# 30. 容量评估 - 存储  Date: 2017-05-25  ## Status  Accepted  ## Context  1. 一些需要高 IOPS 的服务，磁盘使用的是普通云盘，如，数据库，备份服务，图片服务等。  ## Decision  1. 明确存储的使用场景； 2. 关注吞吐量，IOPS和数据首次获取时间。  我们的存储都是基于 Aliyun 的，他有以下类别及特点：  * nas(文件存储) 	* 使用场景 		* 负载均衡共享存储和高可用 		* 企业办公文件共享(**不支持本地挂载**) 		* 数据备份 		* 服务器日志共享 	* 价格及吞吐能力 		* 2/G/M SSD性能型 60M/s 		* **0.65/G/M 容量型 30M/s** * disk(块存储、云盘)  	* 使用场景 		* 普通云盘 			* 不被经常访问或者低 I/O 负载的应用场景 		* 高效云盘 			* 中小型数据库 			* 大型开发测试 			* Web 服务器日志 		* SSD 云盘 			* I/O 密集型应用 			* 中大型关系型数据库 			* NoSQL 数据库 	* 价格 		* 普通云盘 0.3/G/M  		* 高效云盘 0.35/G/M 		* SSD 云盘 1/G/M 	* 吞吐量 		* 普通云盘 30MBps 		* 高效云盘 **80MBps** 		* SSD 云盘 256MBps 	* IOPS 		* 普通云盘 数百 		* 高效云盘 3000 		* SSD 云盘 20000 	* 访问延迟 		* 普通云盘 5 - 10 ms 		* 高效云盘 1 - 3 ms 		* SSD 云盘 0.5 - 2 ms * oss(对象存储) 	* 使用场景 		* 图片和音视频等应用的海量存储 		* 网页或者移动应用的静态和动态资源分离 		* 云端数据处理 	* 价格及吞吐能力 		* **0.148/G/M 标准型 吞吐量大，热点文件、需要频繁访问的业务场景** 大概 50M/s，类似高效云盘 		* **0.08/G/M 低频访问型 数据访问实时，读取频率较低的业务场景** Object 存储最低 30 天 		* 0.06/G/M 归档型 数据恢复有等待时间，数据有存储时长要求 Object 存储最低 30 天 * oas(归档存储) 	* 使用场景 		* 低成本备份 		* 数据归档 		* 取代磁带 	* 价格及吞吐能力 		* 0.07/G/M 用户提取数据时能够容忍0-4小时的时间延迟  ## Consequences  1. 加粗的信息可以重点查看下，同类别里比较推荐； 2. 我们选择时还要考虑价格及存储时长要求。  Refs:  * [Server request and upgrade: capacity evaluation][1] * 云盘参数和性能测试方法：[https://help.aliyun.com/document\_detail/25382.html][2]  [1]:	0019-server-request-and-upgrade-capacity-evaluation.md [2]:	https://help.aliyun.com/document_detail/25382.html,data_persistence
ADR_006,https://github.com/noushad-pp/base-react-typescript.git,doc/adr/0001-record-architecture-decisions.md,1. Record architecture decisions,"# 1. Record architecture decisions  Date: 2019-09-25  ## Status  Accepted  ## Context  We need to record the architectural decisions made on this project.  ## Decision  We will use Architecture Decision Records, as [described by Michael Nygard](http://thinkrelevance.com/blog/2011/11/15/documenting-architecture-decisions).  ## Consequences  See Michael Nygard's article, linked above. For a lightweight ADR toolset, see Nat Pryce's [adr-tools](https://github.com/npryce/adr-tools). ",governance_and_process
ADR_007,https://github.com/zooniverse/front-end-monorepo.git,docs/arch/adr-23.md,ADR-23 Tasks as classifier plugins,"# ADR-23 Tasks as classifier plugins  ## Context We'd like the new classifier to be easily extensible. However, adding new tasks to the classifier involved updating the code in several places: - add new code in three places:   - [task views](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/components/Classifier/components/TaskArea/components/Tasks).   - [task models](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/store/tasks).   - [annotation models](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/store/annotations). - import the new modules by name in several places, and register them:   - [registered views](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/components/Classifier/components/TaskArea/components/Tasks/helpers/getTaskComponent.js).   - [import tasks models for workflow steps](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/store/WorkflowStepStore.js#L5-L18).   - [import all annotations to the classification model](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/store/Classification.js#L3).   - [register annotations with the classifications store](https://github.com/zooniverse/front-end-monorepo/blob/2e2ac27a442afc8cfaea6f7735b97ebb511367a8/packages/lib-classifier/src/store/ClassificationStore.js#L111-L120).  It was easy to forget one of these steps and a lot of this could be automated in code.  ## Decision  - Keep all the code together. Store task views and models next to each other in the filesystem. (#1212) - Import named modules to a registry object (or similar) then load them in to other code from that register. (#1212) - Delegate responsibility from the classification to individual tasks. (#1228)  ### Implementation  - Task code was moved to `lib-classifier/src/plugins/tasks`. Each task has its own directory, with these subdirectories:   - _components_: React components to render the task.   - _models_: MobX State Tree models for the task. One Task model and one Annotation model. - a _taskRegistry_ object was added, which is described in the [tasks README](https://github.com/zooniverse/front-end-monorepo/blob/master/packages/lib-classifier/src/plugins/tasks/readme.md). - Responsibility for creating new annotations was removed from the classifications store, removing the need for the classifications store to know about different types of tasks and how to create an annotation for each. New methods were added to the task models to delegate responsibility and make tasks more flexible:   - _task.createAnnotation()_ creates a new annotation of the correct type for a specific task.   - _task.defaultAnnotation_ (read-only) returns the default annotation for a specific task.  ## Status  Accepted  ## Consequences  - A similar architecture could be used to register subject viewers with the classifier. - Tasks could be removed completely from the classifier. When a workflow loads, its tasks could be instantiated outside the classifier and only the tasks needed for the workflow could be passed in as props. - The classifier could make better use of the MobX State Tree. A classification could store the tasks used to generate that classification, each task holding a reference to its own annotation. This opens up the possibility of more flexible code for tracking workflow history and handling recursive workflows. We could also take advantage of the tree (via _getParent()_ or _getParentOfType()_) to easily reference the task that generated a specific annotation, or the classification that a task is currently doing work for. - the registry model has no equivalent for `import { SingleChoiceAnnotation, MultipleChoiceAnnotation, TextAnnotation } from '@plugins/tasks/models/annotations'`. It would be helpful, but not necessary, to be able to do this when setting up classifier stores. - the task registry is only available after the task models have been set up and initialised, limiting its usefulness when accessing models in order to set up other models, such as drawing tools. ","architectural_patterns, governance_and_process"
ADR_008,https://github.com/ASethi93/james.git,src/adr/0013-precompute-jmap-preview.md,13. Precompute JMAP Email preview,"# 13. Precompute JMAP Email preview  Date: 2019-10-09  ## Status  Accepted  ## Context  JMAP messages have a handy preview property displaying the firsts 256 characters of meaningful test of a message.  This property is often displayed for message listing in JMAP clients, thus it is queried a lot.  Currently, to get the preview, James retrieves the full message body, parse it using MIME parsers, removes HTML and keep meaningful text.  ## Decision  We should pre-compute message preview.  A MailboxListener will compute the preview and store it in a MessagePreviewStore.  We should have a Cassandra and memory implementation.  When the preview is precomputed then for these messages we can consider the ""preview"" property as a metadata.  When the preview is not precomputed then we should compute the preview for these messages, and save the result for later.  We should provide a webAdmin task allowing to rebuild the projection. The computing and storing in MessagePreviewStore  is idempotent and the task can be run in live without any concurrency problem.  Some performance tests will be run in order to evaluate the improvements.  ## Consequences  Given the following scenario played by 2500 users per hour (constant rate)  - Authenticate  - List mailboxes  - List messages in one of their mailboxes  - Get 8 times the properties expected to be fast to fetch with JMAP  We went from:  - A 7% failure and timeout rate before this change to almost no failure  - Mean time for GetMessages went from 9 710 ms to 434 ms (22 time improvment), for all operation from  12 802 ms to 407 ms (31 time improvment)  - P99 is a metric that did not make sense because the initial simulation exceeded Gatling (the performance measuring tool   we use) timeout (60s) at the p95 percentile. After this proposal p99 for the entire scenario is of 1 747 ms  As such, this changeset significantly increases the JMAP performance.  ## References   - https://jmap.io/server.html#1-emails JMAP client guice states that preview needs to be quick to retrieve   - Similar decision had been taken at FastMail: https://fastmail.blog/2014/12/15/dec-15-putting-the-fast-in-fastmail-loading-your-mailbox-quickly/   - [JIRA](https://issues.apache.org/jira/browse/JAMES-2919) ",performance_and_scalability
ADR_009,https://github.com/alphagov/paas-team-manual.git,source/architecture_decision_records/ADR039-aiven-metrics-for-users.html.md,(sem título),"--- title: ADR039 - Aiven metrics for users ---  # ADR039: Aiven metrics for users  ## Context  We offer our users the following backing services through [Aiven](https://aiven.io):  - Elasticsearch - InfluxDB (private beta)  We want to make sure our users can view metrics for their Aiven backing services so that our users can:  - debug and respond to usage and service performance changes - understand the operational characteristics of their applications and services - make better capacity planning and budgeting decisions  Aiven has service integrations which add extra functionality to an Aiven service. Service integrations are useful for:  - shipping logs to an Elasticsearch/Rsyslog - sending metrics to Datadog - sending metrics to Aiven Postgres/InfluxDB - exposing metrics in Prometheus exposition format  We currently run Prometheus for monitoring the platform, using the [Prometheus BOSH release](https://github.com/bosh-prometheus/prometheus-boshrelease) and have confidence and experience using it.  We will need to think about Prometheus failover. If we load balance Prometheus without sticky sessions, the metrics Prometheus reports will be erratic, as different instances report different metrics.  ## Decision  We will use Prometheus to scrape Aiven-provided services.  We will deploy new Prometheus in the Cloud Foundry BOSH deployment using the Prometheus BOSH release. This will reduce blast radius - tenant usage of metrics will not affect our ability to operate and monitor the platform using Prometheus.  We will need to automate the following tasks:  1. Service discovery: make sure Prometheus has an updated list of Aiven services to scrape. We must colocate this automation with the Prometheus instance. 2. Service integration: make sure every eligible Aiven-provided service uses the Aiven service integration for Prometheus.  ## Initial implementation  In the initial implementation we deploy multiple instances of Prometheus for high availability.  ![architecture](../images/adr450-prometheus-aiven-architecture.svg)  There will be three services on the instance:  - Prometheus - Caddy - Aiven service discovery  We use Gorouter for exposing Prometheus publicly.  We use Caddy for failover and for authentication. Caddy does automatic failover. This means that during regular operation, it proxies all traffic to a single instance, but when the usual instance is unreachable, Caddy will proxy the request to the colocated Prometheus.  The Aiven service discovery process will regularly query the Aiven API to keep an updated list of Aiven Elasticsearch services for which we want to receive metrics.  The Prometheus server instances will be configured with this list and retrieve metrics from the respective Aiven Elasticsearch service instances.  This architecture is temporary and we will review it when we look at how to expose the Prometheus API to all users.  ## Status  Accepted  ## Consequences  We will provide Prometheus as the datastore and interface for (a subset of) tenant metrics.  We will deploy additional stateful instances to our Cloud Foundry BOSH deployment.  We will maintain software to automate the integration of Aiven services and Prometheus. ","technology_choice, observability"
ADR_010,https://github.com/nickvdyck/webtty.git,docs/adr/0003-coding-style-and-enforcement.md,3. Coding Style and Enforcement,"# 3. Coding Style and Enforcement  Date: 21/10/2019  ## Status  Proposed  ## Context  This codebase should be easily approachable by all those contributing to it current and future, consistency of coding style is thus an important aspect.  ## Decision For TypeScript based projects we will use eslint to enforce consistent coding styles and prettier to enforce consistent code formatting.  For C# based projects I have not made a decision yet, this is something that should be addressed in a future extension.  An editorconfig file will be available where needed so that editors can pick up common settings.  These rules should not be written in stone. In the future, it should be possible given consensus to add/remove or override certain rules.  Commits introducing code that does not adhere to the above settings should fail the CI build.  ## Consequences Not having linting an coding style automated setup for C# can haunt me in the future, because of all the styling dept that will be accrued. But I simply don't have the bandwidth or knowledge a the moment to get this setup. ","governance_and_process, technology_choice"
